NuméroClient,NombreCommandes,DateDerniereCommande,MontantEffectif,TransactionAnnulation,Récence,MontantGlobal,NombreArticlesTotal,PourcentageAnnulationMontant,NombreArticlesMoyenParCommande,PanierMoyen,Pays
12347.0,4.0,2011-04-07 10:43:00,3146.75,0.0,21,5633.32,3286.0,44.140400332308474,821.5,1408.33,Iceland
12348.0,4.0,2011-04-05 10:47:00,1388.3999999999999,0.0,23,1658.4,2704.0,16.280752532561518,676.0,414.6,Finland
12349.0,2.0,2010-10-28 08:23:00,2196.99,1.0,182,3678.69,1621.0,40.2779250222226,810.5,1839.345,Italy
12350.0,1.0,2011-02-02 16:01:00,294.4,0.0,85,294.4,196.0,0.0,196.0,294.4,Norway
12351.0,1.0,2010-11-29 15:23:00,300.93,0.0,150,300.93,261.0,0.0,261.0,300.93,Unspecified
12352.0,6.0,2011-03-22 16:08:00,864.98,1.0,37,1729.54,714.0,49.98785804317911,119.0,288.25666666666666,Norway
12353.0,1.0,2010-10-27 12:44:00,317.76,0.0,183,406.76,212.0,21.880224210836857,212.0,406.76,Bahrain
12354.0,1.0,2011-04-21 13:11:00,1079.4,0.0,7,1079.4,530.0,0.0,530.0,1079.4,Spain
12355.0,1.0,2010-05-21 11:59:00,488.21000000000004,0.0,342,947.61,543.0,48.47985985795844,543.0,947.61,Bahrain
12356.0,5.0,2011-04-08 12:33:00,5555.33,0.0,20,5613.68,3377.0,1.0394251186387604,675.4,1122.736,Portugal
12358.0,3.0,2010-11-29 10:56:00,2519.01,0.0,150,3447.07,1068.0,26.92315502731305,356.0,1149.0233333333333,Austria
12359.0,8.0,2011-04-13 13:38:00,4819.97,3.0,15,8935.94,2752.0,46.06085090096845,344.0,1116.9925,Cyprus
12360.0,3.0,2010-11-12 11:31:00,1310.83,0.0,167,3612.89,2443.0,63.71796539612332,814.3333333333334,1204.2966666666666,Austria
12361.0,4.0,2011-02-25 13:51:00,451.25,0.0,62,451.25,231.0,0.0,57.75,112.8125,Belgium
12362.0,2.0,2011-04-28 09:12:00,879.4399999999999,1.0,0,4737.23,2197.0,81.43556466542684,1098.5,2368.615,Belgium
12363.0,1.0,2011-04-11 13:29:00,299.1,0.0,17,552.0,408.0,45.815217391304344,408.0,552.0,Unspecified
12365.0,1.0,2011-02-21 13:51:00,320.69,0.0,66,320.69,173.0,0.0,173.0,320.69,Cyprus
12366.0,1.0,2010-03-16 10:28:00,500.24,0.0,408,500.24,296.0,0.0,296.0,500.24,Cyprus
12368.0,1.0,2010-03-21 15:56:00,917.6999999999999,0.0,403,917.7,330.0,1.2388235558637466e-14,330.0,917.7,Cyprus
12369.0,3.0,2010-10-22 13:13:00,1511.15,0.0,188,1511.15,1234.0,0.0,411.3333333333333,503.7166666666667,Austria
12370.0,6.0,2011-03-10 12:48:00,3221.03,0.0,49,3960.31,2596.0,18.66722554547497,432.6666666666667,660.0516666666666,Austria
12371.0,3.0,2010-10-26 13:37:00,1819.42,0.0,184,3347.38,1418.0,45.64644587707401,472.6666666666667,1115.7933333333333,Switzerland
12372.0,1.0,2011-02-16 12:46:00,363.22,0.0,71,1196.04,788.0,69.6314504531621,788.0,1196.04,Denmark
12373.0,3.0,2011-02-01 13:10:00,927.6500000000001,0.0,86,927.65,511.0,-1.2255358995484938e-14,170.33333333333334,309.21666666666664,Austria
12374.0,2.0,2010-10-14 10:16:00,2046.29,0.0,196,2669.22,1354.0,23.337529315680232,677.0,1334.61,Austria
12376.0,2.0,2010-11-15 12:15:00,383.15,0.0,164,383.15,237.0,0.0,118.5,191.575,Switzerland
12377.0,4.0,2011-01-28 15:45:00,3266.32,0.0,90,3266.32,2101.0,0.0,525.25,816.58,Switzerland
12379.0,2.0,2010-10-13 14:46:00,692.98,0.0,197,1470.22,805.0,52.86555753560691,402.5,735.11,Belgium
12380.0,4.0,2010-11-23 12:06:00,4747.44,1.0,156,7210.65,3314.0,34.16072060077801,828.5,1802.6625,Belgium
12383.0,4.0,2011-04-15 14:10:00,1547.86,1.0,13,1628.56,1518.0,4.9552979319153145,379.5,407.14,Belgium
12385.0,1.0,2010-11-25 15:14:00,1668.4,0.0,154,1668.4,594.0,0.0,594.0,1668.4,Belgium
12386.0,2.0,2011-01-06 12:37:00,660.8,0.0,112,660.8,568.0,0.0,284.0,330.4,Australia
12387.0,1.0,2010-10-20 16:27:00,143.94,0.0,190,143.94,134.0,0.0,134.0,143.94,Australia
12388.0,5.0,2011-03-09 15:47:00,1886.7,0.0,50,3901.11,2001.0,51.63684182194298,400.2,780.222,Australia
12389.0,3.0,2010-11-02 11:52:00,1433.33,0.0,177,1433.33,614.0,0.0,204.66666666666666,477.77666666666664,Australia
12391.0,5.0,2010-09-01 12:38:00,2286.93,1.0,239,2773.42,1220.0,17.54115856956394,244.0,554.684,Cyprus
12392.0,1.0,2010-04-27 14:04:00,234.75000000000003,0.0,366,234.75000000000003,73.0,0.0,73.0,234.75000000000003,Australia
12393.0,5.0,2011-04-08 09:45:00,1855.25,1.0,20,2399.4500000000003,1311.0,22.6801975452708,262.2,479.89000000000004,Australia
12395.0,7.0,2011-03-23 14:33:00,2938.77,2.0,36,4551.27,3701.0,35.42967127856621,528.7142857142857,650.1814285714287,Belgium
12396.0,1.0,2010-02-03 13:22:00,931.43,0.0,449,931.43,591.0,0.0,591.0,931.43,RSA
12399.0,4.0,2011-03-23 09:42:00,1081.7,0.0,36,1842.3,2190.0,41.285349834446066,547.5,460.575,Belgium
12400.0,1.0,2010-10-21 13:45:00,205.25,0.0,189,205.25,91.0,0.0,91.0,205.25,Australia
12401.0,1.0,2011-02-09 13:50:00,69.3,0.0,78,69.3,10.0,0.0,10.0,69.3,Belgium
12402.0,6.0,2011-01-20 13:49:00,1124.15,1.0,98,1136.9,576.0,1.1214706658457207,96.0,189.48333333333335,Belgium
12403.0,1.0,2010-07-06 11:39:00,555.6600000000001,0.0,296,947.36,256.0,41.34647863536564,256.0,947.36,Denmark
12406.0,3.0,2010-11-16 11:55:00,2791.46,1.0,163,6390.36,3416.0,56.31764094667593,1138.6666666666667,2130.12,Denmark
12407.0,2.0,2011-04-18 12:25:00,450.96,0.0,10,1507.12,1403.0,70.07802961940655,701.5,753.56,Belgium
12408.0,5.0,2011-04-08 17:08:00,2005.33,4.0,20,3905.77,2200.0,48.65724300202009,440.0,781.154,Belgium
12410.0,3.0,2011-02-11 15:47:00,761.46,1.0,76,773.71,335.0,1.5832805573147564,111.66666666666667,257.90333333333336,Switzerland
12411.0,1.0,2010-10-26 09:25:00,346.9,0.0,184,346.9,138.0,0.0,138.0,346.9,Australia
12412.0,3.0,2010-11-02 17:02:00,1246.15,2.0,177,2404.93,1986.0,48.18352301314383,662.0,801.6433333333333,Denmark
12413.0,3.0,2011-04-17 15:33:00,685.3,1.0,11,871.45,313.0,21.360950140570324,104.33333333333333,290.48333333333335,Spain
12414.0,3.0,2011-04-26 09:12:00,316.56,1.0,2,532.41,489.0,40.54206344734321,163.0,177.47,Austria
12416.0,1.0,2010-02-21 10:19:00,202.56,0.0,431,202.56,132.0,0.0,132.0,202.56,Australia
12417.0,15.0,2011-04-28 13:09:00,3975.14,6.0,0,6017.91,2841.0,33.944841315340376,189.4,401.194,Belgium
12418.0,3.0,2010-10-22 10:29:00,1348.37,1.0,188,2021.2,1088.0,33.28864041163666,362.6666666666667,673.7333333333333,Switzerland
12419.0,2.0,2010-11-19 10:04:00,391.01,0.0,160,391.01,227.0,0.0,113.5,195.505,Spain
12421.0,3.0,2011-01-24 15:09:00,360.01,1.0,94,874.6,644.0,58.83718271209696,214.66666666666666,291.53333333333336,Spain
12422.0,10.0,2011-01-19 09:13:00,3194.29,0.0,99,3639.35,2579.0,12.229106846002718,257.9,363.935,Australia
12423.0,6.0,2011-04-07 12:04:00,1580.03,0.0,21,2301.39,1772.0,31.344535259126005,295.3333333333333,383.565,Denmark
12424.0,2.0,2010-10-13 10:29:00,1528.82,3.0,197,3340.03,2025.0,54.22735723930624,1012.5,1670.015,Australia
12425.0,1.0,2010-10-05 14:50:00,903.61,1.0,205,1741.41,1147.0,48.110439241763856,1147.0,1741.41,Portugal
12426.0,1.0,2010-03-03 11:22:00,656.6800000000001,1.0,421,1201.21,576.0,45.33179044463499,576.0,1201.21,Germany
12427.0,1.0,2010-12-23 10:20:00,442.05,1.0,126,949.3,602.0,53.43410934372695,602.0,949.3,Germany
12428.0,5.0,2011-04-11 10:04:00,5085.03,2.0,17,6405.26,3509.0,20.61165354724087,701.8,1281.0520000000001,Finland
12429.0,6.0,2011-04-26 11:44:00,5060.59,1.0,2,6979.91,3317.0,27.49777575928629,552.8333333333334,1163.3183333333334,Denmark
12431.0,15.0,2011-02-27 14:43:00,6214.3,3.0,60,10527.97,4695.0,40.97342602609999,313.0,701.8646666666666,Belgium
