Customer ID,MontantTotal,NombreArticles
12346.0,77352.96,74239
12347.0,5633.32,3286
12348.0,1658.3999999999999,2704
12349.0,3678.69,1621
12350.0,294.4,196
12351.0,300.93,261
12352.0,1729.54,714
12353.0,406.76,212
12354.0,1079.4,530
12355.0,947.61,543
12356.0,5613.68,3377
12357.0,17437.66,6586
12358.0,3447.07,1068
12359.0,8935.94,2752
12360.0,3612.89,2443
12361.0,451.25,231
12362.0,4737.23,2197
12363.0,552.0,408
12364.0,1208.1,1499
12365.0,320.69,173
12366.0,500.24,296
12367.0,150.9,172
12368.0,917.6999999999999,330
12369.0,1511.15,1234
12370.0,3960.31,2596
12371.0,3347.38,1418
12372.0,1196.04,788
12373.0,927.6500000000001,511
12374.0,2669.22,1354
12375.0,377.5,176
12376.0,383.15,237
12377.0,3266.32,2101
12378.0,5416.32,3316
12379.0,1470.22,805
12380.0,7210.65,3314
12381.0,1474.81,797
12383.0,1628.56,1518
12384.0,425.27000000000004,122
12385.0,1668.4,594
12386.0,660.8,568
12387.0,143.94,134
12388.0,3901.11,2001
12389.0,1433.33,614
12390.0,504.84000000000003,350
12391.0,2773.42,1220
12392.0,234.75000000000003,73
12393.0,2399.4500000000003,1311
12394.0,1080.48,808
12395.0,4551.27,3701
12396.0,931.43,591
12397.0,2214.9,1250
12398.0,1435.66,1389
12399.0,1842.3,2190
12400.0,205.25,91
12401.0,69.3,10
12402.0,1136.9,576
12403.0,947.36,256
12405.0,1390.39,849
12406.0,6390.36,3416
12407.0,1507.1200000000001,1403
12408.0,3905.77,2200
12409.0,23419.29,13143
12410.0,773.71,335
12411.0,346.9,138
12412.0,2404.93,1986
12413.0,871.45,313
12414.0,532.41,489
12415.0,144033.37,91443
12416.0,202.56,132
12417.0,6017.91,2841
12418.0,2021.2,1088
12419.0,391.01,227
12420.0,600.39,345
12421.0,874.6,644
12422.0,3639.35,2579
12423.0,2301.39,1772
12424.0,3340.03,2025
12425.0,1741.41,1147
12426.0,1201.21,576
12427.0,949.3,602
12428.0,6405.26,3509
12429.0,6979.91,3317
12430.0,216.4,116
12431.0,10527.97,4695
12432.0,4359.32,1800
12433.0,20581.26,17116
12434.0,1103.43,532
12435.0,13925.93,4958
12436.0,429.01000000000005,209
12437.0,11282.4,7922
12438.0,2466.85,1169
12439.0,1158.18,484
12440.0,739.2,328
12441.0,311.1,240
12442.0,144.06,181
12443.0,365.31,179
12444.0,4085.46,1130
12445.0,378.98,204
12446.0,1002.3100000000001,351
12447.0,431.49,187
12448.0,365.45,240
12449.0,4274.89,2247
12450.0,688.2,442
12451.0,12629.88,9358
12452.0,348.57,181
12453.0,707.09,473
12454.0,16459.78,7702
12455.0,5722.95,3295
12456.0,2581.04,1618
12457.0,2555.91,1083
12458.0,1502.49,979
12459.0,398.36,256
12460.0,296.65,168
12461.0,626.88,282
12462.0,937.59,527
12463.0,1200.78,768
12464.0,957.05,95
12465.0,682.1899999999999,475
12467.0,132.8,129
12468.0,3238.74,2177
12469.0,3070.54,2552
12470.0,211.95,95
12471.0,35145.5,16636
12472.0,16494.59,11273
12473.0,2596.23,2419
12474.0,11362.45,7895
12475.0,1065.64,766
12476.0,12351.41,5547
12477.0,20276.37,6119
12478.0,545.99,233
12479.0,473.2,382
12480.0,4834.85,2917
12481.0,11191.39,7204
12482.0,21941.72,27040
12483.0,4092.58,2143
12484.0,5573.15,3242
12485.0,708.1,414
12486.0,917.28,520
12487.0,285.29999999999995,174
12488.0,1244.66,526
12489.0,298.93,103
12490.0,8764.64,5849
12491.0,424.40000000000003,258
12492.0,607.21,438
12493.0,379.74,204
12494.0,1602.8700000000001,973
12495.0,277.4,128
12496.0,54.09,33
12497.0,5996.5,5671
12498.0,349.70000000000005,156
12499.0,357.72,300
12500.0,5559.21,3355
12501.0,2025.39,1775
12502.0,2995.87,794
12503.0,896.0,560
12504.0,689.05,453
12505.0,787.2,318
12506.0,73.5,23
12507.0,1508.06,1244
12508.0,398.27,272
12509.0,158.5,54
12510.0,3039.03,2021
12511.0,3084.02,1753
12512.0,138.03,99
12513.0,558.29,459
12514.0,1597.76,840
12515.0,278.7,128
12516.0,2288.62,1932
12517.0,2322.84,1361
12518.0,1840.89,1306
12519.0,636.54,390
12520.0,2346.2599999999998,1423
12521.0,545.68,306
12522.0,156.72,192
12523.0,4030.15,2256
12524.0,9794.11,7104
12525.0,883.73,504
12526.0,1172.66,624
12527.0,717.51,525
12528.0,1645.48,740
12529.0,316.48,192
12530.0,3381.26,2692
12531.0,1771.2,1110
12532.0,313.83000000000004,151
12533.0,1223.89,696
12534.0,981.18,645
12535.0,716.35,219
12536.0,4279.71,2801
12537.0,612.94,446
12538.0,640.45,336
12539.0,11186.75,4534
12540.0,19250.49,10911
12541.0,841.18,675
12542.0,481.88,522
12543.0,840.25,683
12544.0,316.7,134
12545.0,832.39,517
12546.0,1021.5,628
12547.0,299.58,306
12548.0,67.19999999999999,48
12549.0,1570.68,1365
12550.0,824.83,564
12551.0,168.0,100
12552.0,317.82,85
12553.0,4104.75,2297
12554.0,384.5,237
12556.0,603.71,358
12557.0,18716.14,6782
12558.0,269.96,196
12559.0,525.71,281
12560.0,1918.01,1098
12561.0,238.85,177
12562.0,4426.92,2297
12563.0,221.24,112
12564.0,402.9,130
12565.0,145.92,80
12566.0,297.65,262
12567.0,12467.86,6017
12568.0,52.0,47
12569.0,3152.69,1747
12571.0,519.61,523
12572.0,912.42,446
12573.0,717.41,479
12574.0,182.45000000000002,59
12575.0,568.8199999999999,312
12576.0,2062.72,1492
12577.0,1649.8,1196
