,Customer ID,NombreCommandes,NombreArticles,DateDerniereCommande,MontantTotal,CommandesAnnulees,NombreCommandesNonAnnulees,PanierMoyen,Recency,NombreArticlesMoyenParCommande,Country
0,12346.0,4,24,2011-01-18 10:17:00,169.36000000000058,1.0,2.0,84.68000000000029,325,12.0,United Kingdom
1,12347.0,8,3286,2011-12-07 15:52:00,5633.32,0.0,8.0,704.165,2,410.75,Iceland
2,12348.0,5,2704,2011-09-25 13:13:00,1658.3999999999999,0.0,5.0,331.67999999999995,75,540.8,Finland
3,12349.0,4,1616,2011-11-21 09:51:00,3654.54,1.0,2.0,1827.27,18,808.0,Italy
4,12350.0,1,196,2011-02-02 16:01:00,294.4,0.0,1.0,294.4,310,196.0,Norway
5,12351.0,1,261,2010-11-29 15:23:00,300.93,0.0,1.0,300.93,375,261.0,Unspecified
6,12352.0,10,651,2011-11-03 14:37:00,1609.21,1.0,8.0,201.15125,36,81.375,Norway
7,12353.0,2,212,2011-05-19 17:47:00,406.76,0.0,2.0,203.38,204,106.0,Bahrain
8,12354.0,1,530,2011-04-21 13:11:00,1079.4,0.0,1.0,1079.4,232,530.0,Spain
9,12355.0,2,543,2011-05-09 13:49:00,947.61,0.0,2.0,473.805,214,271.5,Bahrain
10,12356.0,6,3377,2011-11-17 08:40:00,5613.68,0.0,6.0,935.6133333333333,22,562.8333333333334,Portugal
11,12357.0,2,6586,2011-11-06 16:07:00,17437.66,0.0,2.0,8718.83,33,3293.0,Switzerland
12,12358.0,5,1068,2011-12-08 10:26:00,3447.07,0.0,5.0,689.414,1,213.6,Austria
13,12359.0,14,2526,2011-12-02 11:21:00,8714.89,4.0,6.0,1452.4816666666666,7,421.0,Cyprus
14,12360.0,6,2443,2011-10-18 15:22:00,3612.89,0.0,6.0,602.1483333333333,52,407.1666666666667,Austria
15,12361.0,4,231,2011-02-25 13:51:00,451.25,0.0,4.0,112.8125,287,57.75,Belgium
16,12362.0,13,2180,2011-12-06 15:40:00,4665.58,3.0,7.0,666.5114285714286,3,311.42857142857144,Belgium
17,12363.0,2,408,2011-08-22 10:18:00,552.0,0.0,2.0,276.0,109,204.0,Unspecified
18,12364.0,4,1499,2011-12-02 10:22:00,1208.1,0.0,4.0,302.025,7,374.75,Belgium
19,12365.0,1,173,2011-02-21 13:51:00,320.69,0.0,1.0,320.69,291,173.0,Cyprus
20,12366.0,1,296,2010-03-16 10:28:00,500.24,0.0,1.0,500.24,633,296.0,Cyprus
21,12367.0,1,172,2011-12-05 16:48:00,150.9,0.0,1.0,150.9,4,172.0,Denmark
22,12368.0,1,330,2010-03-21 15:56:00,917.6999999999999,0.0,1.0,917.6999999999999,628,330.0,Cyprus
23,12369.0,3,1234,2010-10-22 13:13:00,1511.15,0.0,3.0,503.7166666666667,413,411.3333333333333,Austria
24,12370.0,7,2596,2011-10-19 14:51:00,3960.31,0.0,7.0,565.7585714285714,51,370.85714285714283,Austria
25,12370.0,7,2596,2011-10-19 14:51:00,3960.31,0.0,7.0,565.7585714285714,51,370.85714285714283,Cyprus
26,12371.0,4,1418,2011-10-11 10:43:00,3347.38,0.0,4.0,836.845,59,354.5,Switzerland
27,12372.0,3,788,2011-09-29 12:12:00,1196.04,0.0,3.0,398.68,71,262.6666666666667,Denmark
28,12373.0,3,511,2011-02-01 13:10:00,927.6500000000001,0.0,3.0,309.2166666666667,311,170.33333333333334,Austria
29,12374.0,3,1354,2011-11-14 15:37:00,2669.22,0.0,3.0,889.7399999999999,25,451.3333333333333,Austria
30,12375.0,3,175,2011-12-07 11:27:00,375.42,1.0,1.0,375.42,2,175.0,Finland
31,12376.0,2,237,2010-11-15 12:15:00,383.15,0.0,2.0,191.575,389,118.5,Switzerland
32,12377.0,4,2101,2011-01-28 15:45:00,3266.32,0.0,4.0,816.58,315,525.25,Switzerland
33,12378.0,2,3316,2011-08-02 10:34:00,5416.32,0.0,2.0,2708.16,129,1658.0,Switzerland
34,12379.0,5,804,2011-09-19 10:09:00,1468.27,1.0,3.0,489.42333333333335,81,268.0,Belgium
35,12380.0,10,3301,2011-11-18 11:27:00,7171.0,2.0,6.0,1195.1666666666667,21,550.1666666666666,Belgium
36,12381.0,4,772,2011-12-05 12:44:00,1433.46,1.0,2.0,716.73,4,386.0,Norway
37,12383.0,6,1515,2011-06-08 08:02:00,1617.31,1.0,4.0,404.3275,184,378.75,Belgium
38,12384.0,3,117,2011-11-11 08:39:00,406.16,1.0,1.0,406.16,28,117.0,Switzerland
39,12385.0,1,594,2010-11-25 15:14:00,1668.4,0.0,1.0,1668.4,379,594.0,Belgium
40,12386.0,2,568,2011-01-06 12:37:00,660.8,0.0,2.0,330.4,337,284.0,Australia
41,12387.0,1,134,2010-10-20 16:27:00,143.94,0.0,1.0,143.94,415,134.0,Australia
42,12388.0,8,2001,2011-11-24 12:30:00,3901.11,0.0,8.0,487.63875,15,250.125,Australia
43,12389.0,3,614,2010-11-02 11:52:00,1433.33,0.0,3.0,477.77666666666664,402,204.66666666666666,Australia
44,12390.0,1,350,2011-09-21 09:33:00,504.84000000000003,0.0,1.0,504.84000000000003,79,350.0,Belgium
45,12391.0,7,1212,2011-11-18 12:07:00,2747.82,1.0,5.0,549.5640000000001,21,242.4,Cyprus
46,12392.0,1,73,2010-04-27 14:04:00,234.75000000000003,0.0,1.0,234.75000000000003,591,73.0,Australia
47,12393.0,7,1305,2011-09-28 15:41:00,2376.75,1.0,5.0,475.35,72,261.0,Australia
48,12394.0,2,808,2011-10-07 08:08:00,1080.48,0.0,2.0,540.24,63,404.0,Belgium
49,12394.0,2,808,2011-10-07 08:08:00,1080.48,0.0,2.0,540.24,63,404.0,Denmark
50,12395.0,18,3696,2011-11-24 12:20:00,4530.92,3.0,12.0,377.57666666666665,15,308.0,Belgium
51,12396.0,1,591,2010-02-03 13:22:00,931.43,0.0,1.0,931.43,674,591.0,RSA
52,12397.0,2,1250,2011-11-04 09:52:00,2214.9,0.0,2.0,1107.45,35,625.0,Belgium
53,12398.0,1,1389,2011-10-25 10:27:00,1435.66,0.0,1.0,1435.66,45,1389.0,Switzerland
54,12399.0,7,2190,2011-08-12 13:15:00,1842.3,0.0,7.0,263.18571428571425,119,312.85714285714283,Belgium
55,12400.0,1,91,2010-10-21 13:45:00,205.25,0.0,1.0,205.25,414,91.0,Australia
56,12401.0,1,10,2011-02-09 13:50:00,69.3,0.0,1.0,69.3,303,10.0,Belgium
57,12402.0,7,575,2011-01-20 13:49:00,1124.15,1.0,5.0,224.83,323,115.0,Belgium
58,12403.0,2,256,2011-10-21 10:51:00,947.36,0.0,2.0,473.68,49,128.0,Denmark
59,12405.0,1,849,2011-07-14 08:52:00,1390.39,0.0,1.0,1390.39,148,849.0,Finland
60,12406.0,7,3383,2011-11-17 19:22:00,6072.21,2.0,3.0,2024.07,22,1127.6666666666667,Denmark
61,12407.0,5,1403,2011-10-21 10:11:00,1507.1200000000001,0.0,5.0,301.42400000000004,49,280.6,Belgium
62,12408.0,13,2158,2011-11-07 12:27:00,3859.64,5.0,3.0,1286.5466666666666,32,719.3333333333334,Belgium
63,12409.0,13,13027,2011-09-22 10:38:00,23090.47,6.0,1.0,23090.47,78,13027.0,Switzerland
64,12410.0,4,333,2011-02-11 15:47:00,761.46,1.0,2.0,380.73,301,166.5,Switzerland
65,12411.0,1,138,2010-10-26 09:25:00,346.9,0.0,1.0,346.9,409,138.0,Australia
66,12412.0,8,1980,2011-09-26 10:16:00,2389.03,2.0,4.0,597.2575,74,495.0,Denmark
67,12413.0,5,312,2011-10-04 09:00:00,861.5,1.0,3.0,287.1666666666667,66,104.0,Spain
68,12413.0,5,312,2011-10-04 09:00:00,861.5,1.0,3.0,287.1666666666667,66,104.0,France
69,12414.0,5,297,2011-05-06 14:51:00,442.41,1.0,3.0,147.47,217,99.0,Austria
70,12415.0,28,91016,2011-11-15 14:22:00,143107.02,4.0,20.0,7155.351,24,4550.8,Australia
71,12416.0,1,132,2010-02-21 10:19:00,202.56,0.0,1.0,202.56,656,132.0,Australia
72,12417.0,27,2817,2011-12-06 14:52:00,5909.21,7.0,13.0,454.5546153846154,3,216.69230769230768,Belgium
73,12417.0,27,2817,2011-12-06 14:52:00,5909.21,7.0,13.0,454.5546153846154,3,216.69230769230768,Spain
74,12418.0,5,1087,2011-08-19 11:08:00,2016.95,1.0,3.0,672.3166666666667,112,362.3333333333333,Switzerland
75,12419.0,2,227,2010-11-19 10:04:00,391.01,0.0,2.0,195.505,385,113.5,Spain
76,12420.0,1,345,2011-10-07 08:55:00,600.39,0.0,1.0,600.39,63,345.0,Cyprus
77,12421.0,7,640,2011-11-24 09:07:00,869.6,1.0,5.0,173.92000000000002,15,128.0,Spain
78,12422.0,12,2579,2011-09-05 09:48:00,3639.35,0.0,12.0,303.27916666666664,95,214.91666666666666,Australia
79,12422.0,12,2579,2011-09-05 09:48:00,3639.35,0.0,12.0,303.27916666666664,95,214.91666666666666,Switzerland
80,12423.0,11,1760,2011-12-09 10:10:00,2291.19,1.0,9.0,254.57666666666668,0,195.55555555555554,Denmark
81,12423.0,11,1760,2011-12-09 10:10:00,2291.19,1.0,9.0,254.57666666666668,0,195.55555555555554,Belgium
82,12424.0,7,2015,2011-06-30 12:06:00,3289.78,3.0,1.0,3289.78,162,2015.0,Australia
83,12425.0,3,1103,2011-09-22 17:31:00,1680.81,1.0,1.0,1680.81,78,1103.0,Portugal
84,12426.0,3,569,2011-05-29 12:26:00,1167.41,1.0,1.0,1167.41,194,569.0,Germany
85,12427.0,5,305,2011-11-28 10:48:00,831.87,2.0,1.0,831.87,11,305.0,Germany
86,12428.0,11,3477,2011-11-14 08:22:00,6366.0,3.0,5.0,1273.2,25,695.4,Finland
87,12429.0,9,3197,2011-11-30 17:22:00,6929.51,1.0,7.0,989.9300000000001,9,456.7142857142857,Denmark
88,12429.0,9,3197,2011-11-30 17:22:00,6929.51,1.0,7.0,989.9300000000001,9,456.7142857142857,Austria
89,12430.0,1,116,2011-10-27 15:09:00,216.4,0.0,1.0,216.4,43,116.0,Norway
90,12431.0,31,4627,2011-11-04 11:55:00,10389.41,6.0,19.0,546.811052631579,35,243.52631578947367,Belgium
91,12431.0,31,4627,2011-11-04 11:55:00,10389.41,6.0,19.0,546.811052631579,35,243.52631578947367,Australia
92,12432.0,4,1800,2011-10-28 11:43:00,4359.32,0.0,4.0,1089.83,42,450.0,Norway
93,12433.0,10,17116,2011-12-09 10:02:00,20581.26,0.0,10.0,2058.1259999999997,0,1711.6,Norway
94,12434.0,5,511,2011-09-16 12:38:00,1062.48,2.0,1.0,1062.48,84,511.0,Australia
95,12435.0,6,4958,2011-09-21 09:06:00,13925.93,0.0,6.0,2320.9883333333332,79,826.3333333333334,Denmark
96,12436.0,1,209,2011-09-01 12:09:00,429.01000000000005,0.0,1.0,429.01000000000005,99,209.0,Norway
97,12437.0,45,7853,2011-12-08 11:35:00,11011.85,7.0,31.0,355.2209677419355,1,253.32258064516128,France
98,12438.0,2,1169,2011-11-25 13:28:00,2466.85,0.0,2.0,1233.425,14,584.5,Norway
