numero_client,nombre_commandes,date_derniere_commande,montant_effectif,transactions_annulation,nombre_jours_depuis_derniere_commande,montant_global,nombre_articles_y,pourcentage_annulation_montant,nombre_articles_moyen_par_commande,panier_moyen,pays
12347.0,3.0,2011-01-26 14:30:00,2510.5,0.0,63,5633.32,3286.0,55.43480576285388,1095.3333333333333,1877.7733333333333,Iceland
12348.0,3.0,2011-01-25 10:42:00,1061.3999999999999,0.0,64,1658.4,2704.0,35.998552821997116,901.3333333333334,552.8000000000001,Finland
12349.0,2.0,2010-10-28 08:23:00,2196.99,1.0,153,3678.69,1621.0,40.2779250222226,810.5,1839.345,Italy
12350.0,1.0,2011-02-02 16:01:00,294.4,0.0,56,294.4,196.0,0.0,196.0,294.4,Norway
12351.0,1.0,2010-11-29 15:23:00,300.93,0.0,121,300.93,261.0,0.0,261.0,300.93,Unspecified
12352.0,6.0,2011-03-22 16:08:00,864.98,1.0,8,1729.54,714.0,49.98785804317911,119.0,288.25666666666666,Norway
12353.0,1.0,2010-10-27 12:44:00,317.76,0.0,154,406.76,212.0,21.880224210836857,212.0,406.76,Bahrain
12355.0,1.0,2010-05-21 11:59:00,488.21000000000004,0.0,313,947.61,543.0,48.47985985795844,543.0,947.61,Bahrain
12356.0,4.0,2011-01-18 09:50:00,5073.87,0.0,71,5613.68,3377.0,9.615973835345091,844.25,1403.42,Portugal
12358.0,3.0,2010-11-29 10:56:00,2519.01,0.0,121,3447.07,1068.0,26.92315502731305,356.0,1149.0233333333333,Austria
12359.0,8.0,2011-02-07 14:51:00,4855.77,2.0,51,8935.94,2752.0,45.66022153237376,344.0,1116.9925,Cyprus
12360.0,3.0,2010-11-12 11:31:00,1310.83,0.0,138,3612.89,2443.0,63.71796539612332,814.3333333333334,1204.2966666666666,Austria
12361.0,4.0,2011-02-25 13:51:00,451.25,0.0,33,451.25,231.0,0.0,57.75,112.8125,Belgium
12365.0,1.0,2011-02-21 13:51:00,320.69,0.0,37,320.69,173.0,0.0,173.0,320.69,Cyprus
12366.0,1.0,2010-03-16 10:28:00,500.24,0.0,379,500.24,296.0,0.0,296.0,500.24,Cyprus
12368.0,1.0,2010-03-21 15:56:00,917.6999999999999,0.0,374,917.7,330.0,1.2388235558637466e-14,330.0,917.7,Cyprus
12369.0,3.0,2010-10-22 13:13:00,1511.15,0.0,159,1511.15,1234.0,0.0,411.3333333333333,503.7166666666667,Austria
12370.0,6.0,2011-03-10 12:48:00,3221.03,0.0,20,3960.31,2596.0,18.66722554547497,432.6666666666667,660.0516666666666,Austria
12371.0,3.0,2010-10-26 13:37:00,1819.42,0.0,155,3347.38,1418.0,45.64644587707401,472.6666666666667,1115.7933333333333,Switzerland
12372.0,1.0,2011-02-16 12:46:00,363.22,0.0,42,1196.04,788.0,69.6314504531621,788.0,1196.04,Denmark
12373.0,3.0,2011-02-01 13:10:00,927.6500000000001,0.0,57,927.65,511.0,-1.2255358995484938e-14,170.33333333333334,309.21666666666664,Austria
12374.0,2.0,2010-10-14 10:16:00,2046.29,0.0,167,2669.22,1354.0,23.337529315680232,677.0,1334.61,Austria
12376.0,2.0,2010-11-15 12:15:00,383.15,0.0,135,383.15,237.0,0.0,118.5,191.575,Switzerland
12377.0,4.0,2011-01-28 15:45:00,3266.32,0.0,61,3266.32,2101.0,0.0,525.25,816.58,Switzerland
12379.0,2.0,2010-10-13 14:46:00,692.98,0.0,168,1470.22,805.0,52.86555753560691,402.5,735.11,Belgium
12380.0,4.0,2010-11-23 12:06:00,4747.44,1.0,127,7210.65,3314.0,34.16072060077801,828.5,1802.6625,Belgium
12383.0,3.0,2011-03-14 08:41:00,1420.7,1.0,16,1628.56,1518.0,12.763422901213337,506.0,542.8533333333334,Belgium
12385.0,1.0,2010-11-25 15:14:00,1668.4,0.0,125,1668.4,594.0,0.0,594.0,1668.4,Belgium
12386.0,2.0,2011-01-06 12:37:00,660.8,0.0,83,660.8,568.0,0.0,284.0,330.4,Australia
12387.0,1.0,2010-10-20 16:27:00,143.94,0.0,161,143.94,134.0,0.0,134.0,143.94,Australia
12388.0,5.0,2011-03-09 15:47:00,1886.7,0.0,21,3901.11,2001.0,51.63684182194298,400.2,780.222,Australia
12389.0,3.0,2010-11-02 11:52:00,1433.33,0.0,148,1433.33,614.0,0.0,204.66666666666666,477.77666666666664,Australia
12391.0,5.0,2010-09-01 12:38:00,2286.93,1.0,210,2773.42,1220.0,17.54115856956394,244.0,554.684,Cyprus
12392.0,1.0,2010-04-27 14:04:00,234.75000000000003,0.0,337,234.75000000000003,73.0,0.0,73.0,234.75000000000003,Australia
12393.0,4.0,2011-01-14 11:36:00,1433.65,1.0,75,2399.4500000000003,1311.0,40.250890829148354,327.75,599.8625000000001,Australia
12395.0,7.0,2011-03-23 14:33:00,2938.77,2.0,7,4551.27,3701.0,35.42967127856621,528.7142857142857,650.1814285714287,Belgium
12396.0,1.0,2010-02-03 13:22:00,931.43,0.0,420,931.43,591.0,0.0,591.0,931.43,RSA
12399.0,4.0,2011-03-23 09:42:00,1081.7,0.0,7,1842.3,2190.0,41.285349834446066,547.5,460.575,Belgium
12400.0,1.0,2010-10-21 13:45:00,205.25,0.0,160,205.25,91.0,0.0,91.0,205.25,Australia
12401.0,1.0,2011-02-09 13:50:00,69.3,0.0,49,69.3,10.0,0.0,10.0,69.3,Belgium
12402.0,6.0,2011-01-20 13:49:00,1124.15,1.0,69,1136.9,576.0,1.1214706658457207,96.0,189.48333333333335,Belgium
12403.0,1.0,2010-07-06 11:39:00,555.6600000000001,0.0,267,947.36,256.0,41.34647863536564,256.0,947.36,Denmark
12406.0,3.0,2010-11-16 11:55:00,2791.46,1.0,134,6390.36,3416.0,56.31764094667593,1138.6666666666667,2130.12,Denmark
12407.0,1.0,2011-03-20 13:21:00,211.3,0.0,10,1507.12,1403.0,85.97988215935028,1403.0,1507.12,Belgium
12408.0,5.0,2011-03-24 14:47:00,2034.66,2.0,6,3905.77,2200.0,47.906302726479026,440.0,781.154,Belgium
12410.0,3.0,2011-02-11 15:47:00,761.46,1.0,47,773.71,335.0,1.5832805573147564,111.66666666666667,257.90333333333336,Switzerland
12411.0,1.0,2010-10-26 09:25:00,346.9,0.0,155,346.9,138.0,0.0,138.0,346.9,Australia
12412.0,3.0,2010-11-02 17:02:00,1246.15,2.0,148,2404.93,1986.0,48.18352301314383,662.0,801.6433333333333,Denmark
12413.0,2.0,2011-01-12 09:52:00,600.65,1.0,77,871.45,313.0,31.07464570543348,156.5,435.725,Spain
12414.0,2.0,2011-02-02 14:51:00,113.75999999999999,1.0,56,532.41,489.0,78.63300839578521,244.5,266.205,Austria
12416.0,1.0,2010-02-21 10:19:00,202.56,0.0,402,202.56,132.0,0.0,132.0,202.56,Australia
12417.0,14.0,2011-03-10 11:19:00,3622.84,6.0,20,6017.91,2841.0,39.7990332191741,202.92857142857142,429.8507142857143,Belgium
12418.0,3.0,2010-10-22 10:29:00,1348.37,1.0,159,2021.2,1088.0,33.28864041163666,362.6666666666667,673.7333333333333,Switzerland
12419.0,2.0,2010-11-19 10:04:00,391.01,0.0,131,391.01,227.0,0.0,113.5,195.505,Spain
12421.0,3.0,2011-01-24 15:09:00,360.01,1.0,65,874.6,644.0,58.83718271209696,214.66666666666666,291.53333333333336,Spain
12422.0,10.0,2011-01-19 09:13:00,3194.29,0.0,70,3639.35,2579.0,12.229106846002718,257.9,363.935,Australia
12423.0,5.0,2011-03-21 11:46:00,1354.67,0.0,9,2301.39,1772.0,41.1368781475543,354.4,460.27799999999996,Denmark
12424.0,2.0,2010-10-13 10:29:00,1528.82,3.0,168,3340.03,2025.0,54.22735723930624,1012.5,1670.015,Australia
12425.0,1.0,2010-10-05 14:50:00,903.61,1.0,176,1741.41,1147.0,48.110439241763856,1147.0,1741.41,Portugal
12426.0,1.0,2010-03-03 11:22:00,656.6800000000001,1.0,392,1201.21,576.0,45.33179044463499,576.0,1201.21,Germany
12427.0,1.0,2010-12-23 10:20:00,442.05,1.0,97,949.3,602.0,53.43410934372695,602.0,949.3,Germany
12428.0,4.0,2011-03-30 15:48:00,4853.42,1.0,0,6405.26,3509.0,24.22758795115265,877.25,1601.315,Finland
12429.0,5.0,2010-12-09 12:05:00,4678.610000000001,1.0,111,6979.91,3317.0,32.970339159100895,663.4,1395.982,Denmark
12431.0,15.0,2011-02-27 14:43:00,6214.3,3.0,31,10527.97,4695.0,40.97342602609999,313.0,701.8646666666666,Belgium
12434.0,2.0,2011-03-24 13:05:00,555.79,1.0,6,1103.43,532.0,49.630697008419205,266.0,551.715,Australia
12435.0,5.0,2011-03-17 07:40:00,10075.03,0.0,13,13925.93,4958.0,27.652731271807333,991.6,2785.186,Denmark
12437.0,25.0,2011-03-16 14:37:00,7569.11,7.0,14,11282.4,7922.0,32.91223498546408,316.88,451.296,France
12439.0,2.0,2010-01-26 12:11:00,1104.48,1.0,428,1158.18,484.0,4.6365849867896225,242.0,579.09,Cyprus
12440.0,2.0,2010-09-08 15:57:00,648.15,1.0,203,739.2,328.0,12.317370129870138,164.0,369.6,Austria
12441.0,1.0,2010-12-08 10:45:00,311.1,0.0,112,311.1,240.0,0.0,240.0,311.1,France
12443.0,1.0,2009-12-07 15:42:00,365.31,0.0,478,365.31,179.0,0.0,179.0,365.31,Norway
12445.0,1.0,2010-11-04 18:11:00,293.08000000000004,1.0,145,378.98,204.0,22.666103752176888,204.0,378.98,Spain
12450.0,3.0,2010-11-05 16:27:00,469.07,2.0,145,688.2,442.0,31.841034582970074,147.33333333333334,229.4,Spain
12451.0,4.0,2011-01-19 09:05:00,6532.5199999999995,1.0,70,12629.88,9358.0,48.27725995813103,2339.5,3157.47,Switzerland
12455.0,5.0,2011-02-16 09:56:00,5066.99,0.0,42,5722.95,3295.0,11.461920862492248,659.0,1144.59,Cyprus
12456.0,1.0,2011-03-30 09:12:00,780.17,0.0,0,2581.04,1618.0,69.77303722530452,1618.0,2581.04,Switzerland
12457.0,1.0,2010-10-18 13:52:00,434.53,1.0,163,2555.91,1083.0,82.99901013728966,1083.0,2555.91,Switzerland
12458.0,3.0,2011-02-28 10:55:00,1077.01,0.0,30,1502.49,979.0,28.318324913976134,326.3333333333333,500.83,Switzerland
12459.0,1.0,2010-04-13 14:53:00,398.36,0.0,351,398.36,256.0,0.0,256.0,398.36,Spain
12460.0,1.0,2010-09-09 13:51:00,296.65,0.0,202,296.65,168.0,0.0,168.0,296.65,Belgium
12462.0,1.0,2011-02-18 12:21:00,573.31,1.0,40,937.59,527.0,38.85280346420078,527.0,937.59,Spain
12464.0,2.0,2011-02-28 12:08:00,288.84999999999997,0.0,30,957.05,95.0,69.81871375581214,47.5,478.525,Belgium
12467.0,1.0,2010-11-18 15:53:00,0.0,1.0,132,132.8,129.0,100.0,129.0,132.8,USA
12468.0,4.0,2011-01-27 13:29:00,2725.1,4.0,62,3238.74,2177.0,15.859253907383733,544.25,809.685,Germany
